ID_producto;Nombre_categoria_producto;Cantidad;Precio_Total;Peso_Producto;Calificación_Producto;Ventas;Mes;Año;Precio_Competidor_1;Calificación_Producto_Competidor_1
bed1;bed_bath_table;1;52,0;350;4;57;5;2017;89,9;3,9
bed1;bed_bath_table;3;137,9;350;4;61;6;2017;89,9;3,9
bed1;bed_bath_table;6;275,7;350;4;123;7;2017;89,9;3,9
bed1;bed_bath_table;4;183,8;350;4;90;8;2017;89,9;3,9
bed1;bed_bath_table;2;91,9;350;4;54;9;2017;89,9;3,9
bed1;bed_bath_table;3;137,9;350;4;50;10;2017;89,9;3,9
bed1;bed_bath_table;11;445,9;350;4;97;11;2017;89,9;3,9
bed1;bed_bath_table;6;239,9;350;4;41;12;2017;88;3,9
bed1;bed_bath_table;19;759,8;350;4;62;1;2018;86,9;3,9
bed1;bed_bath_table;18;719,8;350;4;62;2;2018;86,9;3,9
bed1;bed_bath_table;17;679,8;350;4;43;3;2018;86,9;3,9
bed1;bed_bath_table;13;519,9;350;4;34;4;2018;85;3,9
bed1;bed_bath_table;19;759,8;350;4;57;5;2018;84;3,9
bed1;bed_bath_table;5;200,0;350;4;43;6;2018;79,9;3,9
bed1;bed_bath_table;8;319,9;350;4;26;7;2018;78;3,9
bed1;bed_bath_table;8;313,9;350;4;15;8;2018;74;3,9
garden5;garden_tools;6;419,4;9000;4,1;21;3;2017;69,9;4,1
garden5;garden_tools;3;247,9;9000;4,1;17;4;2017;83;4,1
garden5;garden_tools;20;195,6;9000;4,1;34;5;2017;59,9;4,1
garden5;garden_tools;8;712,0;9000;4,1;26;6;2017;59,9;4,1
garden5;garden_tools;10;890,0;9000;4,1;74;7;2017;59,9;4,1
garden5;garden_tools;7;683,0;9000;4,1;113;8;2017;59,9;4,1
garden5;garden_tools;9;891,0;9000;4,1;115;9;2017;59,9;4,1
garden5;garden_tools;14;1386,0;9000;4,1;146;10;2017;59,9;4,1
garden5;garden_tools;17;1683,0;9000;4,1;339;11;2017;52;4,1
garden5;garden_tools;11;1089,0;9000;4,1;184;12;2017;55,1;4,1
garden5;garden_tools;4;398,0;9000;4,1;137;1;2018;49,9;4,1
garden5;garden_tools;2;202,0;9000;4,1;160;2;2018;51;4,1
garden5;garden_tools;1;101,0;9000;4,1;116;3;2018;53,9;4,1
garden5;garden_tools;1;101,0;9000;4,1;111;4;2018;53,9;4,1
consoles1;consoles_games;13;258,7;150;4,2;13;7;2017;19,9;4,2
consoles1;consoles_games;24;477,6;150;4,2;33;8;2017;19,9;4,2
consoles1;consoles_games;9;179,1;150;4,2;17;9;2017;19,9;4,2
consoles1;consoles_games;28;603,2;150;4,2;38;10;2017;22;4,2
consoles1;consoles_games;28;686,0;150;4,2;49;11;2017;24,5;4,2
consoles1;consoles_games;16;392,0;150;4,2;30;12;2017;24,5;4,2
consoles1;consoles_games;5;162,5;150;4,2;6;2;2018;32,5;4,2
consoles1;consoles_games;6;195,0;150;4,2;13;3;2018;32,5;4,2
consoles1;consoles_games;7;245,4;150;4,2;13;4;2018;35;4,2
consoles1;consoles_games;3;108,6;150;4,2;3;5;2018;36,2;4,2
consoles1;consoles_games;2;72,4;150;4,2;2;6;2018;36,2;4,2
consoles1;consoles_games;1;36,2;150;4,2;1;7;2018;36,2;4,2
garden7;garden_tools;1;59,9;1800;4,2;17;4;2017;59,9;4,2
garden7;garden_tools;1;59,9;1800;4,2;34;5;2017;59,9;4,1
garden7;garden_tools;4;239,6;1800;4,2;74;7;2017;59,9;4,1
garden7;garden_tools;6;359,4;1800;4,2;113;8;2017;59,9;4,1
garden7;garden_tools;5;299,5;1800;4,2;115;9;2017;59,9;4,1
garden7;garden_tools;11;658,9;1800;4,2;146;10;2017;59,9;4,1
garden7;garden_tools;20;1043,6;1800;4,2;339;11;2017;52;4,1
garden7;garden_tools;10;571,8;1800;4,2;184;12;2017;55,1;4,1
garden7;garden_tools;11;548,9;1800;4,2;137;1;2018;49,9;4,1
garden7;garden_tools;8;411,2;1800;4,2;160;2;2018;51;4,1
garden7;garden_tools;3;161,7;1800;4,2;116;3;2018;53,9;4,1
garden7;garden_tools;8;431,2;1800;4,2;111;4;2018;53,9;4,1
garden7;garden_tools;9;477,1;1800;4,2;102;5;2018;53;4,1
garden7;garden_tools;5;249,5;1800;4,2;58;6;2018;49,9;4,1
garden7;garden_tools;6;299,4;1800;4,2;54;7;2018;49,91;4,1
garden7;garden_tools;7;349,3;1800;4,2;46;8;2018;49,91;4,1
health9;health_beauty;11;219,9;100;4,3;19;2;2017;19,99;4,3
health9;health_beauty;9;179,9;100;4,3;25;3;2017;19,99;4,3
health9;health_beauty;13;259,9;100;4,3;23;4;2017;19,99;4,3
health9;health_beauty;16;319,8;100;4,3;41;5;2017;19,99;4,3
health9;health_beauty;21;419,8;100;4,3;53;6;2017;19,99;4,3
health9;health_beauty;29;579,7;100;4,3;61;7;2017;19,99;4,3
health9;health_beauty;28;651,7;100;4,3;82;8;2017;23;4,3
health9;health_beauty;24;57576000,0;100;4,3;89;9;2017;23,99;4,3
health9;health_beauty;27;647,7;100;4,3;81;10;2017;23,99;4,3
health9;health_beauty;28;671,7;100;4,3;139;11;2017;23,99;4,3
health9;health_beauty;19;455,8;100;4,3;112;12;2017;23,99;4,3
health9;health_beauty;19;455,8;100;4,3;98;1;2018;23,99;4,3
health9;health_beauty;14;335,9;100;4,3;126;2;2018;23,99;4,3
health9;health_beauty;8;191,9;100;4,3;169;3;2018;23,99;4,3
health9;health_beauty;7;167,9;100;4,3;159;5;2018;23,99;4,3
health9;health_beauty;3;72,0;100;4,3;131;6;2018;23,99;4,3
health9;health_beauty;3;72,0;100;4,3;113;7;2018;23,99;4,3
health9;health_beauty;2;48,0;100;4,3;127;8;2018;23,99;4,3
cool4;cool_stuff;1;135,0;2425;3,8;42;7;2017;99,99;4,2
cool4;cool_stuff;1;135,0;2425;3,8;39;8;2017;99,99;4,2
cool4;cool_stuff;12;176,4;2425;3,8;33;10;2017;99,99;4,2
cool4;cool_stuff;27;424,9;2425;3,8;42;11;2017;99,99;4,2
cool4;cool_stuff;29;484,3;2425;3,8;38;12;2017;99,99;4,2
cool4;cool_stuff;13;217,1;2425;3,8;102;1;2018;99,99;4,2
cool4;cool_stuff;8;181,6;2425;3,8;20;2;2018;99,99;4,2
cool4;cool_stuff;11;191,2;2425;3,8;45;3;2018;99,99;4,2
cool4;cool_stuff;6;1019,9;2425;3,8;18;4;2018;90;4,2
health3;health_beauty;1;111,0;700;4,1;98;1;2018;23,99;4,3
health3;health_beauty;2;222,0;700;4,1;126;2;2018;23,99;4,3
health3;health_beauty;9;998,9;700;4,1;169;3;2018;23,99;4,3
health3;health_beauty;13;151,5;700;4,1;118;4;2018;12;4,1
health3;health_beauty;23;276,0;700;4,1;159;5;2018;23,99;4,3
health3;health_beauty;43;528,9;700;4,1;131;6;2018;23,99;4,3
health3;health_beauty;33;405,9;700;4,1;113;7;2018;23,99;4,3
health3;health_beauty;32;393,6;700;4,1;127;8;2018;23,99;4,3
perfumery1;perfumery;4;228,0;250;4,3;4;6;2017;56,99;4,3
perfumery1;perfumery;7;398,9;250;4,3;7;7;2017;56,99;4,3
perfumery1;perfumery;7;398,9;250;4,3;8;8;2017;56,99;4,3
perfumery1;perfumery;17;968,8;250;4,3;18;9;2017;56,99;4,3
perfumery1;perfumery;17;968,8;250;4,3;19;10;2017;56,99;4,3
perfumery1;perfumery;20;1139,8;250;4,3;27;11;2017;56,99;4,3
perfumery1;perfumery;24;1367,8;250;4,3;34;12;2017;56,99;4,3
perfumery1;perfumery;10;569,9;250;4,3;15;1;2018;56,99;4,3
perfumery1;perfumery;4;228,0;250;4,3;12;2;2018;56,99;4,3
perfumery1;perfumery;14;706,9;250;4,3;18;3;2018;50,49;4,3
perfumery1;perfumery;2;100,0;250;4,3;10;4;2018;49,99;4,3
perfumery1;perfumery;8;399,9;250;4,3;13;7;2018;49,99;4,3
perfumery1;perfumery;4;200,0;250;4,3;19;8;2018;49,99;4,3
cool5;cool_stuff;2;200,0;4475;4,3;33;4;2017;99,99;4,2
cool5;cool_stuff;18;1799,8;4475;4,3;58;5;2017;99,99;4,2
cool5;cool_stuff;11;1099,9;4475;4,3;42;6;2017;99,99;4,2
cool5;cool_stuff;14;1399,9;4475;4,3;42;7;2017;99,99;4,2
cool5;cool_stuff;8;799,9;4475;4,3;39;8;2017;99,99;4,2
cool5;cool_stuff;6;599,9;4475;4,3;10;9;2017;99,99;4,2
cool5;cool_stuff;9;899,9;4475;4,3;33;10;2017;99,99;4,2
cool5;cool_stuff;2;200,0;4475;4,3;42;11;2017;99,99;4,2
cool5;cool_stuff;3;300,0;4475;4,3;38;12;2017;99,99;4,2
cool5;cool_stuff;6;599,9;4475;4,3;102;1;2018;99,99;4,2
cool5;cool_stuff;9;899,9;4475;4,3;20;2;2018;99,99;4,2
cool5;cool_stuff;5;489,8;4475;4,3;45;3;2018;99,99;4,2
cool5;cool_stuff;4;338,8;4475;4,3;18;4;2018;90;4,2
health8;health_beauty;6;539,9;250;4,1;25;3;2017;19,99;4,3
health8;health_beauty;6;539,9;250;4,1;41;5;2017;19,99;4,3
health8;health_beauty;9;809,9;250;4,1;53;6;2017;19,99;4,3
health8;health_beauty;17;1529,8;250;4,1;61;7;2017;19,99;4,3
health8;health_beauty;18;1619,8;250;4,1;82;8;2017;23;4,3
health8;health_beauty;21;1889,8;250;4,1;89;9;2017;23,99;4,3
health8;health_beauty;24;2159,8;250;4,1;81;10;2017;23,99;4,3
health8;health_beauty;26;2339,7;250;4,1;139;11;2017;23,99;4,3
health8;health_beauty;19;1709,8;250;4,1;112;12;2017;23,99;4,3
health8;health_beauty;20;1799,8;250;4,1;98;1;2018;23,99;4,3
health8;health_beauty;17;1529,8;250;4,1;126;2;2018;23,99;4,3
health8;health_beauty;16;1339,8;250;4,1;169;3;2018;23,99;4,3
health8;health_beauty;14;1119,9;250;4,1;118;4;2018;79,99;4,1
health8;health_beauty;16;1279,8;250;4,1;159;5;2018;23,99;4,3
health8;health_beauty;13;1039,9;250;4,1;131;6;2018;23,99;4,3
health8;health_beauty;10;799,9;250;4,1;113;7;2018;23,99;4,3
health8;health_beauty;7;579,8;250;4,1;127;8;2018;23,99;4,3
garden4;garden_tools;13;778,7;1650;4,1;74;7;2017;59,9;4,1
garden4;garden_tools;23;137,8;1650;4,1;113;8;2017;59,9;4,1
garden4;garden_tools;13;778,7;1650;4,1;115;9;2017;59,9;4,1
garden4;garden_tools;36;215,6;1650;4,1;146;10;2017;59,9;4,1
garden4;garden_tools;69;371,2;1650;4,1;339;11;2017;52;4,1
garden4;garden_tools;44;246,9;1650;4,1;184;12;2017;55,1;4,1
garden4;garden_tools;39;194,6;1650;4,1;137;1;2018;49,9;4,1
garden4;garden_tools;48;241,1;1650;4,1;160;2;2018;51;4,1
garden4;garden_tools;26;140,1;1650;4,1;116;3;2018;53,9;4,1
garden4;garden_tools;28;150,9;1650;4,1;111;4;2018;53,9;4,1
garden4;garden_tools;25;132,0;1650;4,1;102;5;2018;53;4,1
garden4;garden_tools;15;748,5;1650;4,1;58;6;2018;49,9;4,1
garden4;garden_tools;3;149,7;1650;4,1;54;7;2018;49,91;4,1
garden4;garden_tools;6;299,4;1650;4,1;46;8;2018;49,91;4,1
computers5;computers_accessories;1;167,0;207;3,5;31;10;2017;155;4,2
computers5;computers_accessories;2;239,8;207;3,5;35;12;2017;149,99;4,2
computers5;computers_accessories;57;545,4;207;3,5;152;1;2018;157;4,2
computers5;computers_accessories;45;346,6;207;3,5;202;2;2018;149;4,2
computers5;computers_accessories;6;528,0;207;3,5;127;3;2018;136;4,2
computers5;computers_accessories;10;880,0;207;3,5;107;4;2018;121;4,2
computers5;computers_accessories;3;269,7;207;3,5;66;6;2018;114;4,2
computers5;computers_accessories;3;236,7;207;3,5;43;7;2018;119,99;4,2
garden10;garden_tools;3;179,7;1750;4,2;34;5;2017;59,9;4,1
garden10;garden_tools;3;179,7;1750;4,2;26;6;2017;59,9;4,1
garden10;garden_tools;19;113,8;1750;4,2;74;7;2017;59,9;4,1
garden10;garden_tools;27;161,7;1750;4,2;113;8;2017;59,9;4,1
garden10;garden_tools;17;101,8;1750;4,2;115;9;2017;59,9;4,1
garden10;garden_tools;31;185,7;1750;4,2;146;10;2017;59,9;4,1
garden10;garden_tools;87;471,2;1750;4,2;339;11;2017;52;4,1
garden10;garden_tools;32;177,0;1750;4,2;184;12;2017;55,1;4,1
garden10;garden_tools;29;144,7;1750;4,2;137;1;2018;49,9;4,1
garden10;garden_tools;36;182,8;1750;4,2;160;2;2018;51;4,1
garden10;garden_tools;35;188,7;1750;4,2;116;3;2018;53,9;4,1
garden10;garden_tools;13;70,1;1750;4,2;111;4;2018;53,9;4,1
garden10;garden_tools;29;155,9;1750;4,2;102;5;2018;53;4,1
garden10;garden_tools;6;299,4;1750;4,2;58;6;2018;49,9;4,1
garden10;garden_tools;14;69,9;1750;4,2;54;7;2018;49,91;4,1
garden10;garden_tools;10;49,9;1750;4,2;46;8;2018;49,91;4,1
computers6;computers_accessories;22;330,8;533;4,3;152;1;2018;157;4,2
computers6;computers_accessories;69;1034,3;533;4,3;202;2;2018;149;4,2
computers6;computers_accessories;51;764,5;533;4,3;127;3;2018;136;4,2
computers6;computers_accessories;35;524,7;533;4,3;107;4;2018;121;4,2
computers6;computers_accessories;52;779,5;533;4,3;78;5;2018;119;4,2
computers6;computers_accessories;27;404,7;533;4,3;66;6;2018;114;4,2
computers6;computers_accessories;13;194,9;533;4,3;43;7;2018;119,99;4,2
computers6;computers_accessories;5;749,5;533;4,3;18;8;2018;119,99;4,2
health6;health_beauty;3;186,0;350;3,9;98;1;2018;23,99;4,3
health6;health_beauty;13;805,9;350;3,9;169;3;2018;23,99;4,3
health6;health_beauty;15;974,9;350;3,9;118;4;2018;64,99;3,9
health6;health_beauty;38;247,0;350;3,9;159;5;2018;23,99;4,3
health6;health_beauty;26;174,2;350;3,9;131;6;2018;23,99;4,3
health6;health_beauty;27;180,9;350;3,9;113;7;2018;23,99;4,3
health6;health_beauty;28;187,6;350;3,9;127;8;2018;23,99;4,3
garden6;garden_tools;4;239,6;1550;4,1;34;5;2017;59,9;4,1
garden6;garden_tools;1;59,9;1550;4,1;26;6;2017;59,9;4,1
garden6;garden_tools;14;838,6;1550;4,1;74;7;2017;59,9;4,1
garden6;garden_tools;39;233,6;1550;4,1;113;8;2017;59,9;4,1
garden6;garden_tools;37;221,6;1550;4,1;115;9;2017;59,9;4,1
garden6;garden_tools;39;233,6;1550;4,1;146;10;2017;59,9;4,1
garden6;garden_tools;91;477,0;1550;4,1;339;11;2017;52;4,1
garden6;garden_tools;51;288,2;1550;4,1;184;12;2017;55,1;4,1
garden6;garden_tools;12;598,8;1550;4,1;137;1;2018;49,9;4,1
garden6;garden_tools;39;197,0;1550;-2;160;2;2018;51;4,1
garden6;garden_tools;31;167,1;1550;4,1;116;3;2018;53,9;4,1
garden6;garden_tools;46;247,9;1550;4,1;111;4;2018;53,9;4,1
garden6;garden_tools;56;298,2;1550;4,1;102;5;2018;53;4,1
garden6;garden_tools;12;598,8;1550;4,1;58;6;2018;49,9;4,1
